,,,,,,,
,KIỂM KÊ THIẾT BỊ TIÊU THỤ ĐIỆN — NGÀNH DỊCH VỤ F&B,,,,,,
,,,,,,,
,Liệt kê thiết bị tiêu thụ điện lớn. Bảng tự tính kWh/tháng & chi phí — nền tảng để VIoT đề xuất giải pháp cụ thể (theo phương pháp khảo sát VEEP).,,,,,,
,,,,,,,
,Đơn giá điện (VNĐ/kWh):,,,,,,"3,000"
,,,,,,,
,THIẾT BỊ / KHU VỰC,SỐ LƯỢNG,CÔNG SUẤT (kW/cái),GIỜ CHẠY (giờ/ngày),NGÀY/THÁNG,ĐIỆN (kWh/tháng),CHI PHÍ (VNĐ/tháng)
,Điều hòa không khí,,,,,0,0
,Kho lạnh / tủ đông,,,,,0,0
,Tủ lạnh / tủ mát,,,,,0,0
,Bếp điện / bếp từ,,,,,0,0
,Lò nướng / lò hấp,,,,,0,0
,Máy hút mùi / thông gió,,,,,0,0
,Máy pha cà phê / pha chế,,,,,0,0
,Máy rửa chén,,,,,0,0
,Máy nước nóng,,,,,0,0
,Chiếu sáng,,,,,0,0
,Biển hiệu / đèn trang trí,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,TỔNG CỘNG,,,,,0,0
,Mẹo: so sánh tổng kWh kiểm kê với hóa đơn thực tế ở Bản đồ Năng lượng — chênh lệch lớn = có tải ẩn/thất thoát cần tìm.,,,,,,
