,,,,,,
,THEO DÕI NĂNG LƯỢNG HÀNG THÁNG (12 THÁNG),,,,,
,,,,,,
,"Nhập điện, chi phí & sản lượng mỗi tháng. Bảng tự tính cường độ (kWh/đơn vị sản lượng) — chỉ số hiệu quả thật, và % thay đổi theo tháng.",,,,,
,,,,,,
,THÁNG,ĐIỆN (kWh),CHI PHÍ (VNĐ),SẢN LƯỢNG (sản phẩm/tấn),CƯỜNG ĐỘ (kWh/đv),% THAY ĐỔI (cường độ)
,Tháng 1,,,,0.00,—
,Tháng 2,,,,0.00,0%
,Tháng 3,,,,0.00,0%
,Tháng 4,,,,0.00,0%
,Tháng 5,,,,0.00,0%
,Tháng 6,,,,0.00,0%
,Tháng 7,,,,0.00,0%
,Tháng 8,,,,0.00,0%
,Tháng 9,,,,0.00,0%
,Tháng 10,,,,0.00,0%
,Tháng 11,,,,0.00,0%
,Tháng 12,,,,0.00,0%
,CẢ NĂM,0,0,0,0.00,
