,,,,,,,
,KIỂM KÊ THIẾT BỊ TIÊU THỤ ĐIỆN — NGÀNH SẢN XUẤT,,,,,,
,,,,,,,
,Liệt kê thiết bị tiêu thụ điện lớn. Bảng tự tính kWh/tháng & chi phí — nền tảng để VIoT đề xuất giải pháp cụ thể (theo phương pháp khảo sát VEEP).,,,,,,
,,,,,,,
,Đơn giá điện (VNĐ/kWh):,,,,,,"3,000"
,,,,,,,
,THIẾT BỊ / KHU VỰC,SỐ LƯỢNG,CÔNG SUẤT (kW/cái),GIỜ CHẠY (giờ/ngày),NGÀY/THÁNG,ĐIỆN (kWh/tháng),CHI PHÍ (VNĐ/tháng)
,Dây chuyền / máy sản xuất chính,,,,,0,0
,Máy nén khí,,,,,0,0
,Động cơ / motor,,,,,0,0
,Bơm,,,,,0,0
,Quạt / thông gió,,,,,0,0
,Chiller / hệ làm mát,,,,,0,0
,Điều hòa văn phòng,,,,,0,0
,Lò / thiết bị gia nhiệt,,,,,0,0
,Chiếu sáng xưởng,,,,,0,0
,Băng tải / thang máy,,,,,0,0
,Bơm nước,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,TỔNG CỘNG,,,,,0,0
,Mẹo: so sánh tổng kWh kiểm kê với hóa đơn thực tế ở Bản đồ Năng lượng — chênh lệch lớn = có tải ẩn/thất thoát cần tìm.,,,,,,
